End;RFIn;RFOut;RFWriteSrc;RFReadDest;XIn;MUXConst;ALUOpcode;ZIn;ZOut;PCIn;PCOut;IR1In;IR2In;memRead;memWrite;memAddress;memDataIn;memDataOut;interOut;isJump;jmpInterest;jmpCond;clrFlags;setFlag
COMMON0;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;00000;0;0;0;1;0;0;0;0;1;0;0;0;0;0000;0000;0;0000
COMMON1;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;00000;0;0;0;0;1;0;1;0;0;0;1;0;0;0000;0000;0;0000
COMMON2;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;1;00001;1;0;0;1;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
COMMON3;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;1;0;0;0;0;0000;0000;0;0000
COMMON4;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;00000;0;0;0;0;0;1;1;0;0;0;1;0;0;0000;0000;0;0000
COMMON5;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;1;00001;1;0;0;1;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
COMMON6;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
NO OP;;0;0;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <-R1;;1;1;;;;;;;;;;;;;;;;;;;;;
1;1;1;0;0;0;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- INTER;;2;2;;;;;;;;;;;;;;;;;;;;;
1;1;0;0;0;0;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;0;0000;0000;0;0000
R2 <- M(R1);;3;3;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;0;0;00000;0;0;0;0;0;0;0;0;1;0;0;0;0;0000;0000;0;0000
1;1;0;0;0;0;0;00000;0;0;0;0;0;0;1;0;0;0;1;0;0;0000;0000;0;0000
R2 <- M(INTER);;4;5;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;0;1;0;0;1;0;0000;0000;0;0000
1;1;0;0;0;0;0;00000;0;0;0;0;0;0;1;0;0;0;1;0;0;0000;0000;0;0000
M(R2) <- R1;;5;7;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;0;0;00000;0;0;0;0;0;0;0;0;0;1;0;0;0;0000;0000;0;0000
0;0;1;0;1;0;0;00000;0;0;0;0;0;0;0;0;1;0;0;0;0;0000;0000;0;0000
1;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;1;0;0;0;0;0;0000;0000;0;0000
M(INTER) <- R1;;6;10;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;0;0;00000;0;0;0;0;0;0;0;0;0;1;0;0;0;0000;0000;0;0000
0;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;0;1;0;0;1;0;0000;0000;0;0000
1;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;1;0;0;0;0;0;0000;0000;0;0000
M(R2) <- INTER;;7;13;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;0;0;00000;0;0;0;0;0;0;0;0;1;0;0;0;0;0000;0000;0;0000
0;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;0;0;1;0;1;0;0000;0000;0;0000
1;0;0;0;0;0;0;00000;0;0;0;0;0;0;0;1;0;0;0;0;0;0000;0000;0;0000
R2 <- R1 + R2;;8;16;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
0;0;1;0;0;0;0;00001;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;1111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R2 + INTER;;9;19;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;0;0000;0000;0;0000
0;0;1;0;1;0;0;00001;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;1111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R2 + 1;;10;22;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;0;1;00001;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;1111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R1 -  R2;;11;24;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
0;0;1;0;0;0;0;00010;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;1111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R2 - INTER;;12;27;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;0;0000;0000;0;0000
0;0;1;0;1;0;0;00010;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;1111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- INTER - R2;;13;30;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
0;0;0;0;0;0;0;00010;1;0;0;0;0;0;0;0;0;0;0;1;0;0000;0000;0;1111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R2 - 1;;14;33;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;0;1;00010;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;1111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- NOT R2;;15;35;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;0;0;00011;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R1 OR R2;;16;37;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
0;0;1;0;0;0;0;00100;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R2 OR INTER;;17;40;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;0;0000;0000;0;0000
0;0;1;0;1;0;0;00100;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R1 AND R2;;18;43;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
0;0;1;0;0;0;0;00101;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R2 AND INTER;;19;46;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;0;0000;0000;0;0000
0;0;1;0;1;0;0;00101;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R1 XOR R2;;20;49;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
0;0;1;0;0;0;0;00110;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R2 XOR INTER;;21;52;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;0;0000;0000;0;0000
0;0;1;0;1;0;0;00110;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R1 NAND R2;;22;55;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
0;0;1;0;0;0;0;00111;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R2 NAND INTER;;23;58;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;0;0000;0000;0;0000
0;0;1;0;1;0;0;00111;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R1 NOR R2;;24;61;;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
0;0;1;0;0;0;0;01000;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
R2 <- R2 NOR INTER;;25;64;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;0;0000;0000;0;0000
0;0;1;0;1;0;0;01000;1;0;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0111
1;1;0;0;0;0;0;00000;0;1;0;0;0;0;0;0;0;0;0;0;0;0000;0000;0;0000
JUMP;;26;67;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;1;0000;0000;0;0000
0;0;0;0;0;0;0;00001;1;0;0;1;0;0;0;0;0;0;0;0;1;0000;0000;0;0000
1;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;0;0;0;0;1;0000;0000;0;0000
JUMP < 0;;27;70;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;1;0001;0001;0;0000
0;0;0;0;0;0;0;00001;1;0;0;1;0;0;0;0;0;0;0;0;1;0001;0001;0;0000
1;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;0;0;0;0;1;0001;0001;0;0000
JUMP !< 0;;28;73;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;1;0001;0000;0;0000
0;0;0;0;0;0;0;00001;1;0;0;1;0;0;0;0;0;0;0;0;1;0001;0000;0;0000
1;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;0;0;0;0;1;0001;0000;0;0000
JUMP = 0;;29;76;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;1;0010;0010;0;0000
0;0;0;0;0;0;0;00001;1;0;0;1;0;0;0;0;0;0;0;0;1;0010;0010;0;0000
1;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;0;0;0;0;1;0010;0010;0;0000
JUMP != 0;;30;79;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;1;0010;0000;0;0000
0;0;0;0;0;0;0;00001;1;0;0;1;0;0;0;0;0;0;0;0;1;0010;0000;0;0000
1;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;0;0;0;0;1;0010;0000;0;0000
JUMP > 0;;31;82;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;1;0100;0100;0;0000
0;0;0;0;0;0;0;00001;1;0;0;1;0;0;0;0;0;0;0;0;1;0100;0100;0;0000
1;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;0;0;0;0;1;0100;0100;0;0000
JUMP !> 0;;32;85;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;1;0100;0000;0;0000
0;0;0;0;0;0;0;00001;1;0;0;1;0;0;0;0;0;0;0;0;1;0100;0000;0;0000
1;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;0;0;0;0;1;0100;0000;0;0000
JUMP OVERFLOW;;33;88;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;1;1000;1000;0;0000
0;0;0;0;0;0;0;00001;1;0;0;1;0;0;0;0;0;0;0;0;1;1000;1000;0;0000
1;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;0;0;0;0;1;1000;1000;0;0000
JUMP NO OVERFLOW;;34;91;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;00000;0;0;0;0;0;0;0;0;0;0;0;1;1;1000;0000;0;0000
0;0;0;0;0;0;0;00001;1;0;0;1;0;0;0;0;0;0;0;0;1;1000;0000;0;0000
1;0;0;0;0;0;0;00000;0;1;1;0;0;0;0;0;0;0;0;0;1;1000;0000;0;0000
